0,国内,横浜市で新たに28人が感染 男性26人は同じホストクラブ関係者,null,神奈川県横浜市で３０日、新たに２８人の新型コロナウイルス感染が確認されました。確認された２８人は２０代から４０代の男性２７人と２０代の女性１人で、このうち男性２６人は横浜市内にある同じホストクラブの関係者だということです。横浜市は感染経路を詳しく調べています。横浜市内の新規感染者が２０人を超えたのは４月２３日の２１人以来です。
1,国内,神奈川県内で31人の感染を確認 1日の感染者が30人超えは47日ぶり,null,　きょう、横浜市で28人が新型コロナウイルスに感染していたことが分かった。　横浜市によると、きょう市内で男女28人の感染が確認された。また、川崎市や相模原市などで３人の感染が確認されるなど、神奈川県内であわせて31人の感染が確認された。県内の一日の感染者が30人を超えたのは緊急事態宣言中の５月14日以来、47日ぶりとなる。【映像】31人の感染を確認 30人超えは47日ぶり　また東京都ではきょう、54人の感染が確認されており、5日連続で50人を超えた。（ANNニュース）
2,国内,東海が局地的に記録的大雨の恐れ 土砂災害などに警戒を呼びかけ,null,　発達中の低気圧や前線の影響で西日本は7月1日朝、東日本は2日にかけて雷を伴った非常に激しい雨が降りそうだ。特に東海は局地的に記録的大雨の恐れがある。気象庁は30日、土砂災害、低地の浸水、川の増水・氾濫に厳重な警戒を呼び掛けた。落雷や竜巻などの突風にも注意が必要だ。　気象庁によると、低気圧は日本海西部から東北東に進んでいる。東日本に延びた温暖前線は1日朝に津軽海峡付近まで北上し、寒冷前線は1日夜にかけて西日本から北日本を通過する見込み。低気圧や前線に暖かく湿った空気が流れ込み、西日本や東日本は大気の状態が安定せず、前線の活動が活発化しそうだ。
3,国内,東京都のコロナ新指標、数値基準なし　小池知事が会見へ,https://image.news.livedoor.com/newsimage/stf/b/5/b546e_1509_d2cc3fc0_67918b40-m.jpg,　東京都は30日、新型コロナウイルスの「次の波」への警戒を呼びかけるための新たな指標をまとめた。　医療提供体制の状況を重視し、具体的な数値基準は設けない。専門家らによる分析などを踏まえ、「緊急事態宣言下での最大値」などと比較して、必要に応じて警戒を呼びかけていく方針。小池百合子知事が30日夜、正式に発表する。　新たな指標は7項目。潜在的な市中感染を把握するため、新たな感染者数（1週間平均）と感染経路が不明な人数（同）に加え、東京消防庁への発熱相談件数を追加した。医療提供体制の逼迫（ひっぱく）度を確認する指標としては、検査の陽性率、入院患者数、重症患者数に加え、救急隊の受け入れ要請を五つ以上の病院で拒否されるか、20分以上受け入れ先が決まらない「東京ルール」の適用件数も指標の一つに盛り込んだ。　陽性率の項目は従来はPCR検査だけだったが、短時間で結果がわかる抗原検査も対象に加える。感染経路が不明な人はこれまで感染者数全体に占める割合を指標としてきたが、人数と週単位の増加比に修正した。
4,国内,福井のダム湖に複数の刺し傷などがある男性の遺体 殺害の疑いも,null,男性の遺体が見つかった福井県坂井市の竜ケ鼻ダムのダム湖＝30日午後　福井県坂井市のダム湖で29日に男性の遺体が見つかり、県警は30日、何者かに遺棄されたとみて死体遺棄容疑で坂井署に捜査本部を設置した。胸などに複数の刺し傷や切り傷があり、殺害された疑いもあるとして捜査を始めた。遺体の身元は福井市の会社員青柳卓宏さん（40）と特定した。　坂井署によると、胸部などに刃物のようなもので傷つけられた痕が数カ所あり、中には肺に達する刺し傷もあった。腐敗が進んでいないことから、死亡から数日とみている。　青柳さんは1人暮らしで、遺体が発見される数日前に父親が「息子と連絡がつかない」と捜索願を県警に出していた。
5,国内,東京都で新たに54人の感染を確認 5日連続で50人を上回る,null,　関係者によると、30日に東京都が確認した新型コロナウイルスの新たな感染者は54人だった。50人を上回るのは26日から5日連続となる。（ANNニュース） 
6,海外,北朝鮮、コロナ禍でも生ビール！？　国境封鎖による経済的苦境は本当なのか　金正太郎氏がリポート,https://image.news.livedoor.com/newsimage/stf/c/e/ce6b5_367_d9e1a4460789f56a1eb675adbda50e10-m.jpg,　金与正（キム・ヨジョン）朝鮮労働党第一副部長の超毒舌が注目される北朝鮮は、新型コロナウイルスによる国境封鎖で経済的苦境に直面しているといわれる。ところが、日本海側の浜辺に流れ着くゴミは減らず、嗜好（しこう）品が目立つという。ペットボトル型の生ビールまで発見された。北朝鮮ウオッチャーの金正太郎氏が足で稼いだ実態を報告する。◇　山口県から秋田県まで、日本海沿岸の広範囲に北朝鮮から排出されたプラスチックゴミが無数に漂着している。特に、距離が近い西日本の沿岸には、ペットボトルが２０１６年ごろから発見されている。　コロナ禍の今年、海岸線を徹底的に歩いて確認したところ、個体数は多い。３〜４年前は北朝鮮で収穫できるリンゴや桃のジュースが主流だったが、今年は輸入とみられるパインやマンゴーのジュースや、免疫力を上げるためか乳酸菌飲料の容器が多くなっている。　そして、今月中旬、初めて「大同江（テドンガン）ビール」のペットボトル容器（１・２５リットル）を発見した。　平壌（ピョンヤン）にある大同江ビール工場は、金正恩（キム・ジョンウン）党委員長や与正氏の父、金正日（キム・ジョンイル）総書記の肝いりで２００２年に完成した。英国の設備、ドイツの技術を融合し、「さわやかな味わい」が人気という。　北朝鮮を舞台にした話題の韓流ドラマ「愛の不時着」でも、大同江の缶ビールが登場するほどメジャーな銘柄になっている。　瓶と樽詰めが主流だったが、北朝鮮系の商品紹介サイト「曙光（ソガン）」によると、昨年６月、「生ビールの濃度と味をそのままに樹脂瓶（ペットボトルの意）が出て人気を集めている」という。　一部で伝わる、「コロナ鎖国による飢餓状態」は本当なのか？　宮塚コリア研究所（甲府市）の宮塚利雄代表は「経済情勢が厳しいのは間違いない。韓国の宣伝ビラに激怒しているのも、文在寅（ムン・ジェイン）政権が具体的支援を何もしてこないからだ。それにしても、こんな立派なペットボトル型の生ビールが、日本まで流れ着くとは驚いた。新興富裕層が地方まで広がっている可能性がある」と分析した。　同国の格差社会を象徴するアイテムのようだ。
7,海外,３０年後に「野生コアラいない」＝森林火災で生息地打撃―豪東部州,https://image.news.livedoor.com/newsimage/stf/8/b/8bfb4_1596_c83464d3_749c0b3f-m.jpg,　【シドニー時事】オーストラリア東部ニューサウスウェールズ州議会の上院調査委員会は３０日にコアラに関する報告書を公表した。　今年初めにかけて起きた大規模森林火災で生息地の２割以上が深刻な打撃を受けたなどとして、生息地を保護するために州政府が緊急に介入しなければ、２０５０年までに同州から野生のコアラがいなくなると警告した。　報告書は、州内に生息するコアラはこれまで３万６０００匹と推測されていたが、長期的な減少傾向に森林火災に伴う大量死が重なり「古くて、信頼できない」と指摘。森林伐採などにより生息地の減少や分断が進む中、森林火災で生息地の最大８１％が失われた地域があると分析した。　
8,海外,野生のコアラ 豪政府が生息地保全に取り組まなければ2050年までに絶滅も,null,オーストラリア・ニューサウスウェールズ州のコアラ（同州提供・共同）　【シドニー共同】オーストラリア東部ニューサウスウェールズ州議会の委員会は30日、昨年9月から今年2月ごろにかけて続いた大規模な森林火災の影響などにより、政府が野生のコアラの生息地保全に取り組まなければ、2050年までに州内でコアラが絶滅するとの調査結果を発表した。　委員会の報告書は、生息地の損失が最大の脅威であるにもかかわらず、森林伐採や開拓が続いていると指摘。さらに森林火災で州内の生息地の24％が影響を受け、一部では81％が焼失したとしている。　森林火災では5千匹が死んだと推測。州政府は生息数を3万6千匹と推計しているが、もっと少ないとの見解を示した。
9,海外,イギリスの新型コロナ死者 疑い例を含めて5万5000人に迫る,https://image.news.livedoor.com/newsimage/stf/4/8/48945_769_09ded275387cd0ce29d15acc77a4ef83-m.jpg,［ロンドン　３０日　ロイター］ - 公式データに基づくロイターの集計によると、英国の新型コロナ感染症による死者は疑い例を含めて５万４８５２人となった。数字は、イングランド、ウェールズ、北アイルランドで６月１９日までに発行された死亡証明書、スコットランドで６月２１日までに発行された死亡証明書で死因が新型コロナ感染症と記載されている数、および最近までの病院での死亡者数に基づいている。死亡証明書の集計では、新型コロナ感染症が死因と断定できないケースも含まれるため、政府が日々発表する死者数より多くなる。当局が２９日発表した累計死者数は４万３５７５人だった。英政府は、ロックダウンの発動が遅いなど、新型コロナ危機対策が後手に回ったと批判されている。
